actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,wheel_contact_0,wheel_contact_1,wheel_contact_2,wheel_contact_3,wheel_contact_4,wheel_contact_5,wheel_contact_6,wheel_contact_7
-4.023215501103003e-19,-4.023215501103003e-19,-8.556561218902988e-21,-8.556561218902988e-21,2.1559412077927215e-19,2.1559412077927215e-19,1.6952463264037788e-19,1.6952463264037788e-19,1.149220511608096e-19,1.149220511608093e-19,1.149220511608096e-19,1.149220511608093e-19,-7.937507503803964e-20,-7.937507503804006e-20,-7.937507503803964e-20,-7.937507503804006e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-4.438006120300058e-19,-4.438006120300058e-19,-8.589257202876864e-21,-8.589257202876864e-21,2.3630066263137504e-19,2.3630066263137504e-19,1.8640744697386857e-19,1.8640744697386857e-19,8.526873117899588e-20,8.526873117899566e-20,8.526873117899588e-20,8.526873117899566e-20,-5.849591272127846e-20,-5.849591272127878e-20,-5.849591272127846e-20,-5.849591272127878e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-4.851606689608848e-19,-4.851606689608848e-19,-8.594238730949928e-21,-8.594238730949928e-21,2.569163032625936e-19,2.569163032625936e-19,2.0323370735267355e-19,2.0323370735267355e-19,6.190403758721898e-20,6.190403758721881e-20,6.190403758721898e-20,6.190403758721881e-20,-4.200473369071122e-20,-4.2004733690711455e-20,-4.200473369071122e-20,-4.2004733690711455e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-5.263860428710841e-19,-5.263860428710841e-19,-8.581245278391423e-21,-8.581245278391423e-21,2.774438791682394e-19,2.774438791682394e-19,2.199999441379852e-19,2.199999441379852e-19,4.367307812404847e-20,4.367307812404834e-20,4.367307812404847e-20,4.367307812404834e-20,-2.913019211592487e-20,-2.913019211592505e-20,-2.913019211592487e-20,-2.913019211592505e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-5.674668932686866e-19,-5.674668932686866e-19,-8.556609265822321e-21,-8.556609265822321e-21,2.978856421166913e-19,2.978856421166913e-19,2.3670405897101567e-19,2.3670405897101567e-19,2.956177302416099e-20,2.95617730241609e-20,2.956177302416099e-20,2.95617730241609e-20,-1.917017194388579e-20,-1.9170171943885912e-20,-1.917017194388579e-20,-1.9170171943885912e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-6.083971124491501e-19,-6.083971124491501e-19,-8.52445005102453e-21,-8.52445005102453e-21,3.182433307836008e-19,3.182433307836008e-19,2.533448087326771e-19,2.533448087326771e-19,1.8712431489051492e-20,1.8712431489051426e-20,1.8712431489051492e-20,1.8712431489051426e-20,-1.1521004870930793e-20,-1.1521004870930872e-20,-1.1521004870930793e-20,-1.1521004870930872e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-6.491729853603809e-19,-6.491729853603809e-19,-8.487449463655318e-21,-8.487449463655318e-21,3.385182783429999e-19,3.385182783429999e-19,2.6992148800350795e-19,2.6992148800350795e-19,1.0418651021442851e-20,1.0418651021442803e-20,1.0418651021442851e-20,1.0418651021442803e-20,-5.681917246538812e-21,-5.681917246538855e-21,-5.681917246538812e-21,-5.681917246538855e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-6.897923339278184e-19,-6.897923339278184e-19,-8.447355278056637e-21,-8.447355278056637e-21,3.587115149207423e-19,3.587115149207423e-19,2.8643373193860964e-19,2.8643373193860964e-19,4.109965493172975e-21,4.10996549317294e-21,4.109965493172975e-21,4.10996549317294e-21,-1.247467432929253e-21,-1.2474674329292696e-21,-1.247467432929253e-21,-1.2474674329292696e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-7.302539693206532e-19,-7.302539693206532e-19,-8.40530799880113e-21,-8.40530799880113e-21,3.788238516126211e-19,3.788238516126211e-19,3.0288139287515905e-19,3.0288139287515905e-19,-6.674427988976583e-22,-6.674427988976839e-22,-6.674427988976583e-22,-6.674427988976839e-22,2.104938915672026e-21,2.1049389156720296e-21,2.104938915672026e-21,2.1049389156720296e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-7.705573405170615e-19,-7.705573405170615e-19,-8.362052982886183e-21,-8.362052982886183e-21,3.9885594450704316e-19,3.9885594450704316e-19,3.1926446248983927e-19,3.1926446248983927e-19,-4.27038009126271e-21,-4.270380091262729e-21,-4.27038009126271e-21,-4.270380091262729e-21,4.628676544356442e-21,4.628676544356461e-21,4.628676544356442e-21,4.628676544356461e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-8.107023083226612e-19,-8.107023083226612e-19,-8.31807818027782e-21,-8.31807818027782e-21,4.188083414416591e-19,4.188083414416591e-19,3.355830223314008e-19,3.355830223314008e-19,-6.976770600091031e-21,-6.976770600091045e-21,-6.976770600091031e-21,-6.976770600091045e-21,6.520791618004542e-21,6.520791618004573e-21,6.520791618004542e-21,6.520791618004573e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-8.50688999752337e-19,-8.50688999752337e-19,-8.2737036293373e-21,-8.2737036293373e-21,4.38681515249371e-19,4.38681515249371e-19,3.5183721216799773e-19,3.5183721216799773e-19,-9.001470881671487e-21,-9.001470881671497e-21,-9.001470881671487e-21,-9.001470881671497e-21,7.933341682668841e-21,7.933341682668882e-21,7.933341682668841e-21,7.933341682668882e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-8.905177140027872e-19,-8.905177140027872e-19,-8.229139655350009e-21,-8.229139655350009e-21,4.584758869860123e-19,4.584758869860123e-19,3.680272096011923e-19,3.680272096011923e-19,-1.0509564274543815e-20,-1.0509564274543822e-20,-1.0509564274543815e-20,-1.0509564274543822e-20,8.982946104349016e-21,8.982946104349064e-21,8.982946104349016e-21,8.982946104349064e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
